,Masses,Dilu 1 221110,Dilu 2 221110,Repl 1 221110,Repl 2 221110,Samp 1 221110
0,774.11,0.0,0.0,0.0,0.0,9305.0
1,802.44,0.0,0.0,0.0,0.0,3705.0
2,923.59,0.0,0.0,0.0,0.0,3599.0
3,1128.11,0.0,0.0,0.0,0.0,19537.0
4,1144.2,0.0,0.0,0.0,0.0,15407.0
5,1154.1,0.0,0.0,0.0,0.0,20908.0
6,1176.28,0.0,0.0,0.0,0.0,116619.0
7,1192.26,0.0,0.0,0.0,0.0,17736.0
8,1202.36,0.0,0.0,0.0,0.0,5342.0
9,1294.22,0.0,0.0,0.0,0.0,3523.0
10,1316.28,0.0,0.0,0.0,0.0,3361.0
11,1382.08,0.0,0.0,0.0,0.0,1933.0
12,1426.35,0.0,0.0,0.0,0.0,33393.0
13,1478.47,0.0,0.0,0.0,0.0,3144.0
14,2291.56,0.0,0.0,0.0,0.0,148266.0
15,2485.42,0.0,0.0,0.0,0.0,4886.0
16,2533.45,0.0,0.0,0.0,0.0,78382.0
17,2632.26,0.0,0.0,0.0,0.0,4029.0
18,2671.35,0.0,0.0,0.0,0.0,991.0
19,2706.57,0.0,0.0,0.0,0.0,2361.0
20,2886.88,0.0,0.0,0.0,0.0,892.0
21,2896.91,0.0,0.0,0.0,0.0,1907.0
22,3258.11,0.0,0.0,0.0,0.0,1207.0
23,3319.99,0.0,0.0,0.0,0.0,17521.0
24,3336.89,0.0,0.0,0.0,0.0,4964.0
25,3373.15,0.0,0.0,0.0,0.0,2380.0
26,3444.69,0.0,0.0,0.0,0.0,1888.0
27,3521.71,0.0,0.0,0.0,0.0,806.0
28,4077.6,437.0,0.0,0.0,0.0,366.0
29,4182.73,0.0,0.0,0.0,0.0,575.0
30,1477.45,0.0,0.0,1956.0,0.0,0.0
31,1496.39,0.0,0.0,15488.0,0.0,0.0
32,2227.66,0.0,0.0,56481.0,0.0,0.0
33,2338.32,0.0,0.0,73427.0,0.0,0.0
34,2353.15,0.0,0.0,2782.0,0.0,0.0
35,2681.0,0.0,0.0,3086.0,0.0,0.0
36,2868.3,0.0,0.0,1721.0,0.0,0.0
37,3366.19,0.0,0.0,2484.0,0.0,0.0
38,3383.22,0.0,0.0,612.0,0.0,0.0
39,998.0,0.0,1117.0,0.0,0.0,0.0
40,1264.8,0.0,1566.0,0.0,0.0,0.0
41,1477.96,0.0,9997.0,0.0,15768.0,0.0
42,1641.02,0.0,2710.0,0.0,4593.0,0.0
43,1793.52,0.0,1365.0,0.0,0.0,0.0
44,2122.17,0.0,5764.0,0.0,0.0,0.0
45,2386.85,0.0,8011.0,0.0,0.0,0.0
46,2708.65,0.0,1375.0,0.0,1549.0,0.0
47,2876.15,0.0,3667.0,0.0,0.0,0.0
48,3269.53,0.0,2377.0,0.0,3036.0,0.0
49,3467.39,0.0,467.0,0.0,0.0,0.0
50,1150.49,0.0,0.0,0.0,3247.0,0.0
51,1236.64,0.0,0.0,0.0,1870.0,0.0
52,1278.99,0.0,0.0,0.0,1619.0,0.0
55,1710.08,0.0,0.0,0.0,16699.0,0.0
56,1771.63,0.0,0.0,0.0,1467.0,0.0
57,2387.5,5915.0,0.0,0.0,11028.0,0.0
58,2486.08,0.0,0.0,0.0,3237.0,0.0
60,2876.87,0.0,0.0,0.0,5839.0,0.0
61,3054.58,0.0,0.0,0.0,1358.0,0.0
62,3227.77,0.0,0.0,0.0,1201.0,0.0
63,3247.48,0.0,0.0,0.0,466.0,0.0
65,3445.47,0.0,0.0,0.0,1598.0,0.0
66,3465.04,0.0,0.0,0.0,587.0,0.0
67,1246.46,611.0,0.0,0.0,0.0,0.0
68,1640.48,1208.0,0.0,0.0,0.0,0.0
69,1853.12,2094.0,0.0,0.0,0.0,0.0
71,2484.75,3947.0,0.0,0.0,0.0,0.0
72,2707.96,4266.0,0.0,0.0,0.0,0.0
73,2875.44,2582.0,0.0,0.0,0.0,0.0
